Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,Sustainable Development Goals,Publication Date (print),Publication Date (online),Publication Date
2,pub.1127404584,10.1016/j.jacr.2020.05.001,,PMC7201228,ACR Statement on Safe Resumption of Routine Radiology Care During the COVID-19 Pandemic,Blank,Blank,Journal of the American College of Radiology,,,2020-05,2020,,,,All OA; Gold,Article,"Davenport, Matthew S.; Bruno, Michael A.; Iyer, Ramesh S.; Johnson, Amirh M.; Herrera, Ramses; Nicola, Gregory N.; Ortiz, Daniel; Pedrosa, Ivan; Policeni, Bruno; Recht, Michael P.; Willis, Marc; Zuley, Margarita L.; Weinstein, Stefanie",Blank,"Davenport, Matthew S. (Michigan Medicine)","Davenport, Matthew S. (Michigan Medicine); Bruno, Michael A. (); Iyer, Ramesh S. (); Johnson, Amirh M. (Kaiser Permanente); Herrera, Ramses (University of Miami); Nicola, Gregory N. (); Ortiz, Daniel (); Pedrosa, Ivan (); Policeni, Bruno (University of Iowa); Recht, Michael P. (New York University); Willis, Marc (Stanford University); Zuley, Margarita L. (University of Pittsburgh); Weinstein, Stefanie (University of California, San Francisco)","University of Iowa; University of California, San Francisco; New York University; Kaiser Permanente; University of Miami; Michigan Medicine; University of Pittsburgh; Stanford University",grid.214572.7; grid.266102.1; grid.137628.9; grid.280062.e; grid.26790.3a; grid.412590.b; grid.21925.3d; grid.168010.e,United States; United States; United States; United States; United States; United States; United States; United States,,0,0,,,163,https://doi.org/10.1016/j.jacr.2020.05.001,https://app.dimensions.ai/details/publication/pub.1127404584,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1103 Clinical Sciences,,Blank,Blank,2020-05
1,pub.1126937630,10.34197/ats-scholar.2020-0049ps,,,Training and Deployment of Medical Students as Respiratory Therapist Extenders During COVID-19,Blank,Blank,,,,2020-04-23,2020,,,,All OA; Gold,Article,"Hester, Thomas B; Cartwright, Julia D; DiGiovine, Domenic G.; Karlic, Kevin J; Kercheval, Jacquelyn B.; DiGiovine, Bruno; Gay, Steven E.; Haas, Carl; Hawkins, Daphne; Weirauch, Andrew; Iwashyna, Theodore J.",Blank,,"Hester, Thomas B (University of Michigan); Cartwright, Julia D (University of Michigan); DiGiovine, Domenic G. (University of Michigan); Karlic, Kevin J (University of Michigan); Kercheval, Jacquelyn B. (University of Michigan); DiGiovine, Bruno (); Gay, Steven E. (Michigan Medicine); Haas, Carl (University of Michigan); Hawkins, Daphne (VA Ann Arbor Healthcare System); Weirauch, Andrew (University of Michigan); Iwashyna, Theodore J. (University of Michigan)",Michigan Medicine; University of Michigan; VA Ann Arbor Healthcare System,grid.412590.b; grid.214458.e; grid.413800.e,United States; United States; United States,,0,0,,,34,http://www.atsjournals.org/doi/pdf/10.34197/ats-scholar.2020-0049PS,https://app.dimensions.ai/details/publication/pub.1126937630,,,Blank,Blank,2020-04-23
47,pub.1126670187,10.1213/ane.0000000000004872,32287142,PMC7173403,Pediatric Airway Management in COVID-19 patients - Consensus Guidelines from the Society for Pediatric Anesthesia's Pediatric Difficult Intubation Collaborative and the Canadian Pediatric Anesthesia Society.,Blank,Blank,Anesthesia & Analgesia,,,2020-04,2020,,,1,All OA; Gold,Article,"Matava, Clyde T.; Kovatsis, Pete G.; Summers, Jennifer Lee; Castro, Pilar; Denning, Simon; Yu, Julie; Lockman, Justin L.; Von Ungern-Sternberg, Britta; Sabato, Stefano; Lee, Lisa K.; Ayad, Ihab; Mireles, Sam; Lardner, David; Whyte, Simon; Szolnoki, Judit; Jagannathan, Narasimhan; Thompson, Nicole; Stein, Mary Lyn; Dalesio, Nicholas; Greenberg, Robert; McCloskey, John; Peyton, James; Evans, Faye; Haydar, Bishr; Reynolds, Paul; Chiao, Franklin; Taicher, Brad; Templeton, Thomas; Bhalla, Tarun; Raman, Vidya T.; Garcia-Marcinkiewicz, Annery; Gálvez, Jorge; Tan, Jonathan; Rehman, Mohamed; Crockett, Christy; Olomu, Patrick; Szmuk, Peter; Glover, Chris; Matuszczak, Maria; Galvez, Ignacio; Hunyady, Agnes; Polaner, David; Gooden, Cheryl; Hsu, Grace; Gumaney, Harshad; Pérez-Pradilla, Caroline; Kiss, Edgar E.; Theroux, Mary C.; Lau, Jennifer; Asaf, Saeedah; Ingelmo, Pablo; Engelhardt, Thomas; Hervías, Mónica; Greenwood, Eric; Javia, Luv; Disma, Nicola; Yaster, Myron; Fiadjoe, John E.",Blank,,"Matava, Clyde T. (Hospital for Sick Children); Kovatsis, Pete G. (); Summers, Jennifer Lee (Johns Hopkins University); Castro, Pilar (Cleveland Clinic); Denning, Simon (Hospital for Sick Children); Yu, Julie (Hospital for Sick Children); Lockman, Justin L. (Children's Hospital of Philadelphia); Von Ungern-Sternberg, Britta (University of Western Australia); Sabato, Stefano (Royal Children's Hospital); Lee, Lisa K. (University of California, Los Angeles); Ayad, Ihab (University of California, Los Angeles); Mireles, Sam (Stanford Medicine); Lardner, David (Alberta Children's Hospital); Whyte, Simon (British Columbia Children's Hospital); Szolnoki, Judit (); Jagannathan, Narasimhan (Lurie Children's Hospital); Thompson, Nicole (Shriners Hospitals for Children - Chicago); Stein, Mary Lyn (Johns Hopkins University); Dalesio, Nicholas (Johns Hopkins University); Greenberg, Robert (Johns Hopkins University); McCloskey, John (Johns Hopkins University); Peyton, James (); Evans, Faye (); Haydar, Bishr (Michigan Medicine); Reynolds, Paul (Michigan Medicine); Chiao, Franklin (Cornell University); Taicher, Brad (Duke University); Templeton, Thomas (); Bhalla, Tarun (Akron Children's Hospital); Raman, Vidya T. (); Garcia-Marcinkiewicz, Annery (University of Western Australia); Gálvez, Jorge (Children's Hospital of Philadelphia); Tan, Jonathan (Children's Hospital of Philadelphia); Rehman, Mohamed (Hospital for Sick Children); Crockett, Christy (Vanderbilt University); Olomu, Patrick (); Szmuk, Peter (Baylor College of Medicine); Glover, Chris (Baylor College of Medicine); Matuszczak, Maria (The University of Texas Health Science Center at Houston); Galvez, Ignacio (Hospital Universitario Son Espases); Hunyady, Agnes (); Polaner, David (); Gooden, Cheryl (); Hsu, Grace (); Gumaney, Harshad (); Pérez-Pradilla, Caroline (); Kiss, Edgar E. (); Theroux, Mary C. (Thomas Jefferson University); Lau, Jennifer (Children's Hospital of Los Angeles); Asaf, Saeedah (); Ingelmo, Pablo (McGill University); Engelhardt, Thomas (McGill University); Hervías, Mónica (Hospital General Universitario Gregorio Marañón); Greenwood, Eric (Hospital for Sick Children); Javia, Luv (Children's Hospital of Philadelphia); Disma, Nicola (Istituto Giannina Gaslini); Yaster, Myron (Lurie Children's Hospital); Fiadjoe, John E. ()","Vanderbilt University; British Columbia Children's Hospital; University of California, Los Angeles; Hospital for Sick Children; Hospital General Universitario Gregorio Marañón; Stanford Medicine; Akron Children's Hospital; Duke University; Children's Hospital of Los Angeles; Shriners Hospitals for Children - Chicago; Royal Children's Hospital; Children's Hospital of Philadelphia; Istituto Giannina Gaslini; Alberta Children's Hospital; Thomas Jefferson University; Michigan Medicine; Lurie Children's Hospital; Baylor College of Medicine; McGill University; University of Western Australia; Cleveland Clinic; The University of Texas Health Science Center at Houston; Hospital Universitario Son Espases; Cornell University; Johns Hopkins University",grid.152326.1; grid.414137.4; grid.19006.3e; grid.42327.30; grid.410526.4; grid.240952.8; grid.413473.6; grid.26009.3d; grid.239546.f; grid.419193.7; grid.416107.5; grid.239552.a; grid.419504.d; grid.413571.5; grid.265008.9; grid.412590.b; grid.413808.6; grid.39382.33; grid.14709.3b; grid.1012.2; grid.239578.2; grid.267308.8; grid.411164.7; grid.5386.8; grid.21107.35,United States; Canada; United States; Canada; Spain; United States; United States; United States; United States; United States; Australia; United States; Italy; Canada; United States; United States; United States; United States; Canada; Australia; United States; United States; Spain; United States; United States,,1,1,,,89,https://journals.lww.com/anesthesia-analgesia/Abstract/9000/Pediatric_Airway_Management_in_COVID_19_patients__.95683.aspx,https://app.dimensions.ai/details/publication/pub.1126670187,1117 Public Health and Health Services; 11 Medical and Health Sciences,,Blank,Blank,2020-04
2,pub.1125524904,10.21203/rs.3.rs-16763/v1,,,"Imaging features of evolving COVID-19 infection on computed tomography: Initial experience in Zhuhai, China.",Blank,Blank,Research Square,,,2020-03-09,2020,,,,"All OA; Green, Published",Preprint,"Zhang, Yaqin; Pang, Pengfei; Ma, Han; Chen, Binghui; Li, Yingqin; Jiang, Guanmin; Cai, Zeyu; Qin, Yujuan; Chughtai, Aamer; Shan, Hong",Blank,,"Zhang, Yaqin (Fifth Affiliated Hospital of Sun Yat-sen University); Pang, Pengfei (Fifth Affiliated Hospital of Sun Yat-sen University); Ma, Han (Fifth Affiliated Hospital of Sun Yat-sen University); Chen, Binghui (Fifth Affiliated Hospital of Sun Yat-sen University); Li, Yingqin (Fifth Affiliated Hospital of Sun Yat-sen University); Jiang, Guanmin (Fifth Affiliated Hospital of Sun Yat-sen University); Cai, Zeyu (Fifth Affiliated Hospital of Sun Yat-sen University); Qin, Yujuan (Fifth Affiliated Hospital of Sun Yat-sen University); Chughtai, Aamer (Michigan Medicine); Shan, Hong (Fifth Affiliated Hospital of Sun Yat-sen University)",Fifth Affiliated Hospital of Sun Yat-sen University; Michigan Medicine,grid.452859.7; grid.412590.b,China; United States,,0,0,,,,https://assets.researchsquare.com/files/rs-16763/v1/manuscript.pdf,https://app.dimensions.ai/details/publication/pub.1125524904,11 Medical and Health Sciences; 1103 Clinical Sciences,,Blank,Blank,2020-03-09
26,pub.1127237320,10.1186/s13054-020-02897-4,32354367,PMC7191969,Soluble urokinase plasminogen activator receptor (suPAR) as an early predictor of severe respiratory failure in patients with COVID-19 pneumonia,Blank,Blank,Critical Care,,"Aged; Betacoronavirus; Biomarkers; Clinical Laboratory Techniques; Coronavirus Infections; Female; Humans; Immunoenzyme Techniques; Male; Middle Aged; Pandemics; Pneumonia, Viral; Receptors, Urokinase Plasminogen Activator; Respiratory Insufficiency",2020-12,2020,24,1,187,All OA; Gold,Article,"Rovina, Nikoletta; Akinosoglou, Karolina; Eugen-Olsen, Jesper; Hayek, Salim; Reiser, Jochen; Giamarellos-Bourboulis, Evangelos J.",Blank,"Reiser, Jochen (Rush University Medical Center)","Rovina, Nikoletta (National and Kapodistrian University of Athens); Akinosoglou, Karolina (University of Patras); Eugen-Olsen, Jesper (); Hayek, Salim (University of Michigan); Reiser, Jochen (Rush University Medical Center); Giamarellos-Bourboulis, Evangelos J. (National and Kapodistrian University of Athens; University General Hospital Attikon)",National and Kapodistrian University of Athens; University General Hospital Attikon; University of Michigan; Rush University Medical Center; University of Patras,grid.5216.0; grid.411449.d; grid.214458.e; grid.240684.c; grid.11047.33,Greece; Greece; United States; United States; Greece,,1,1,,,116,https://ccforum.biomedcentral.com/track/pdf/10.1186/s13054-020-02897-4,https://app.dimensions.ai/details/publication/pub.1127237320,11 Medical and Health Sciences,,Blank,Blank,2020-12
15,pub.1126671524,10.1186/s13063-020-04304-3,32293511,PMC7156793,COVID-19 randomised trial protocols: rapid publication without barriers,Blank,Blank,Trials,,"Abstracting and Indexing; Access to Information; Betacoronavirus; Coronavirus Infections; Disclosure; Editorial Policies; Humans; Pandemics; Pneumonia, Viral; Randomized Controlled Trials as Topic; Time Factors",2020-12,2020,21,1,327,All OA; Gold,Article,"Treweek, Shaun; Jüni, Peter; Li, Tianjing; Collin, Jonathan; Briel, Matthias; Chan, An-Wen; Hemming, Karla; Meurer, William J.; Sydes, Matthew R.; Grimshaw, Jeremy M.",Blank,"Treweek, Shaun (University of Aberdeen)","Treweek, Shaun (University of Aberdeen); Jüni, Peter (University of Toronto); Li, Tianjing (University of Colorado Denver); Collin, Jonathan (BioMed Central (United Kingdom)); Briel, Matthias (University of Basel); Chan, An-Wen (University of Toronto); Hemming, Karla (University of Birmingham); Meurer, William J. (University of Michigan); Sydes, Matthew R. (University College London); Grimshaw, Jeremy M. (Ottawa Hospital)",University of Birmingham; University of Michigan; University of Toronto; University of Basel; Ottawa Hospital; University College London; University of Aberdeen; BioMed Central (United Kingdom); University of Colorado Denver,grid.6572.6; grid.214458.e; grid.17063.33; grid.6612.3; grid.412687.e; grid.83440.3b; grid.7107.1; grid.431362.1; grid.241116.1,United Kingdom; United States; Canada; Switzerland; Canada; United Kingdom; United Kingdom; United Kingdom; United States,Medical Research Council,0,0,,,52,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-020-04304-3,https://app.dimensions.ai/details/publication/pub.1126671524,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences; 1103 Clinical Sciences,,Blank,Blank,2020-12
0,pub.1127124858,10.1186/s13012-020-00990-4,32334632,PMC7183389,"The Balanced Opioid Initiative: protocol for a clustered, sequential, multiple-assignment randomized trial to construct an adaptive implementation strategy to improve guideline-concordant opioid prescribing in primary care",Blank,Blank,Implementation Science,,,2020-12,2020,15,1,26,All OA; Gold,Article,"Quanbeck, Andrew; Almirall, Daniel; Jacobson, Nora; Brown, Randall T.; Landeck, Jillian K.; Madden, Lynn; Cohen, Andrew; Deyo, Brienna M. F.; Robinson, James; Johnson, Roberta A.; Schumacher, Nicholas",Blank,"Quanbeck, Andrew (University of Wisconsin–Madison)","Quanbeck, Andrew (University of Wisconsin–Madison); Almirall, Daniel (University of Michigan); Jacobson, Nora (University of Wisconsin–Madison); Brown, Randall T. (University of Wisconsin–Madison); Landeck, Jillian K. (University of Wisconsin–Madison); Madden, Lynn (APT Foundation); Cohen, Andrew (); Deyo, Brienna M. F. (University of Wisconsin–Madison); Robinson, James (); Johnson, Roberta A. (University of Wisconsin–Madison); Schumacher, Nicholas (University of Wisconsin–Madison)",APT Foundation; University of Michigan; University of Wisconsin–Madison,grid.422797.d; grid.214458.e; grid.14003.36,United States; United States; United States,National Institute on Drug Abuse,0,0,,,4,https://implementationscience.biomedcentral.com/track/pdf/10.1186/s13012-020-00990-4,https://app.dimensions.ai/details/publication/pub.1127124858,1117 Public Health and Health Services; 11 Medical and Health Sciences,,Blank,Blank,2020-12
6,pub.1127770346,10.1097/hn9.0000000000000026,,PMC7236843,The COVID-19 pandemic: implications for the head and neck anesthesiologist,Blank,Blank,Journal of Head & Neck Anesthesia,,,2020-08,2020,4,3,e26,All OA; Gold,Article,"Healy, David W.; Cloyd, Benjamin H.; Brenner, Michael J.; Kupfer, Robbi A.; Anam, Karina S.; Schechtman, Samuel A.",Blank,,"Healy, David W. (); Cloyd, Benjamin H. (); Brenner, Michael J. (University of Michigan); Kupfer, Robbi A. (University of Michigan); Anam, Karina S. (); Schechtman, Samuel A. ()",University of Michigan,grid.214458.e,United States,,0,0,,,,http://www.health.state.mn.us/diseases/coronavirus/hcp/aerosol.pdf,https://app.dimensions.ai/details/publication/pub.1127770346,1117 Public Health and Health Services; 11 Medical and Health Sciences,,Blank,Blank,2020-08
101,pub.1127896157,10.1208/s12248-020-00459-8,32458279,PMC7250281,Remdesivir for Treatment of COVID-19: Combination of Pulmonary and IV Administration May Offer Aditional Benefit,Blank,Blank,The AAPS Journal,,"Adenosine Monophosphate; Administration, Inhalation; Administration, Intravenous; Alanine; Animals; Antiviral Agents; Betacoronavirus; Coronavirus Infections; Humans; Pandemics; Pneumonia, Viral",2020-07,2020,22,4,77,All OA; Gold,Article,"Sun, Duxin",Blank,"Sun, Duxin (University of Michigan)","Sun, Duxin (University of Michigan)",University of Michigan,grid.214458.e,United States,,0,0,,,,https://link.springer.com/content/pdf/10.1208/s12248-020-00459-8.pdf,https://app.dimensions.ai/details/publication/pub.1127896157,11 Medical and Health Sciences; 1115 Pharmacology and Pharmaceutical Sciences,,Blank,Blank,2020-07
15,pub.1127763719,10.1007/s00464-020-07631-3,32435961,PMC7238959,SAGES primer for taking care of yourself during and after the COVID-19 crisis,Blank,Blank,Surgical Endoscopy,,,2020-07,2020,34,7,2856-2862,All OA; Gold,Article,"Dort, Jonathan; Romanelli, John; Choudhury, Nabajit; Flink, Benjamin J.; Lak, Kathleen; Levy, Shauna; Needleman, Bradley J.; Paget, Charles J.; Telem, Dana; Schwarz, Erin; Zhang, Linda P.; Sylla, Patricia; Mellinger, John D.; Matthews, Brent D.; Feldman, Liane; Pryor, Aurora D.; Asbun, Horacio J.",Blank,"Dort, Jonathan (Inova Fairfax Hospital)","Dort, Jonathan (Inova Fairfax Hospital); Romanelli, John (Baystate Health); Choudhury, Nabajit (University of Tennessee Health Science Center); Flink, Benjamin J. (Emory University); Lak, Kathleen (Medical College of Wisconsin); Levy, Shauna (Tulane University); Needleman, Bradley J. (The Ohio State University); Paget, Charles J. (Virginia Tech); Telem, Dana (University of Michigan); Schwarz, Erin (Society of American Gastrointestinal and Endoscopic Surgeons); Zhang, Linda P. (Icahn School of Medicine at Mount Sinai); Sylla, Patricia (Icahn School of Medicine at Mount Sinai); Mellinger, John D. (Southern Illinois University School of Medicine); Matthews, Brent D. (Carolinas Healthcare System); Feldman, Liane (McGill University); Pryor, Aurora D. (Stony Brook University); Asbun, Horacio J. (Baptist Health South Florida)",Baystate Health; University of Michigan; Medical College of Wisconsin; Baptist Health South Florida; Stony Brook University; Society of American Gastrointestinal and Endoscopic Surgeons; Inova Fairfax Hospital; Tulane University; The Ohio State University; Icahn School of Medicine at Mount Sinai; Carolinas Healthcare System; McGill University; Virginia Tech; Southern Illinois University School of Medicine; Emory University; University of Tennessee Health Science Center,grid.476946.e; grid.214458.e; grid.30760.32; grid.418212.c; grid.36425.36; grid.469697.3; grid.417781.c; grid.265219.b; grid.261331.4; grid.59734.3c; grid.427669.8; grid.14709.3b; grid.438526.e; grid.280418.7; grid.189967.8; grid.267301.1,United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; Canada; United States; United States; United States; United States,,0,0,,,2,https://link.springer.com/content/pdf/10.1007/s00464-020-07631-3.pdf,https://app.dimensions.ai/details/publication/pub.1127763719,1117 Public Health and Health Services; 11 Medical and Health Sciences,,Blank,Blank,2020-07
