"About the data: Exported on Apr 29, 2020. Criteria: Text - '""2019-nCoV"" OR ""COVID-19"" OR “SARS-CoV-2” OR ""HCoV-2019"" OR ""hcov"" OR ""NCOVID-19"" OR  ""severe acute respiratory syndrome coronavirus 2"" OR ""severe acute respiratory syndrome corona virus 2"" OR ((""coro...' in full data; Publication Year is 2020; Research Organization is University of Michigan–Flint or University of Michigan–Dearborn or University of Michigan. For more information, please see https://app.dimensions.ai/datasources. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,Sustainable Development Goals
205,pub.1126764007,10.1172/jci.insight.139292,32302293,,"COVID-19 in older adults: clinical, psychosocial, and public health considerations",JCI Insight,,,2020-04-17,2020,,,,All OA; Gold,Article,"Mills, John P; Kaye, Keith S; Mody, Lona","Mills, John P (University of Michigan)","Mills, John P (University of Michigan); Kaye, Keith S (University of Michigan); Mody, Lona (University of Michigan)",University of Michigan,grid.214458.e,United States,,0,0,,,64,http://insight.jci.org/articles/view/139292/files/pdf,https://app.dimensions.ai/details/publication/pub.1126764007,1605 Policy and Administration; 11 Medical and Health Sciences; 1103 Clinical Sciences; 16 Studies in Human Society,
190,pub.1125952501,10.1001/jamaoto.2020.0780,32232423,,Safety Recommendations for Evaluation and Surgery of the Head and Neck During the COVID-19 Pandemic,JAMA Otolaryngology - Head & Neck Surgery,,,2020-03-31,2020,146,6,,All OA; Gold,Article,"Givi, Babak; Schiff, Bradley A.; Chinn, Steven B.; Clayburgh, Daniel; Iyer, N. Gopalakrishna; Jalisi, Scharukh; Moore, Michael G.; Nathan, Cherie-Ann; Orloff, Lisa A.; O’Neill, James P.; Parker, Noah; Zender, Chad; Morris, Luc G. T.; Davies, Louise","Givi, Babak (New York University)","Givi, Babak (New York University); Schiff, Bradley A. (Montefiore Medical Center); Chinn, Steven B. (University of Michigan); Clayburgh, Daniel (Oregon Health & Science University); Iyer, N. Gopalakrishna (National Cancer Centre Singapore); Jalisi, Scharukh (Beth Israel Deaconess Medical Center); Moore, Michael G. (Indiana University – Purdue University Indianapolis); Nathan, Cherie-Ann (Louisiana State University); Orloff, Lisa A. (Lucile Packard Children's Hospital); O’Neill, James P. (); Parker, Noah (Indiana University – Purdue University Indianapolis); Zender, Chad (University of Cincinnati); Morris, Luc G. T. (Memorial Sloan Kettering Cancer Center); Davies, Louise (White River Junction VA Medical Center)",Beth Israel Deaconess Medical Center; Memorial Sloan Kettering Cancer Center; New York University; University of Michigan; Oregon Health & Science University; Montefiore Medical Center; White River Junction VA Medical Center; Lucile Packard Children's Hospital; Indiana University – Purdue University Indianapolis; Louisiana State University; University of Cincinnati; National Cancer Centre Singapore,grid.239395.7; grid.51462.34; grid.137628.9; grid.214458.e; grid.5288.7; grid.240283.f; grid.413726.5; grid.414123.1; grid.257413.6; grid.64337.35; grid.24827.3b; grid.410724.4,United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; Singapore,,14,14,,,108,https://jamanetwork.com/journals/jamaotolaryngology/articlepdf/2764032/jamaotolaryngology_givi_2020_sc_200001.pdf,https://app.dimensions.ai/details/publication/pub.1125952501,1117 Public Health and Health Services; 11 Medical and Health Sciences,
179,pub.1126385802,10.1002/hed.26164,32270581,,COVID‐19 pandemic: Effects and evidence‐based recommendations for otolaryngology and head and neck surgery practice,Head & Neck,,,2020-04-15,2020,,,,All OA; Gold,Article,"Kowalski, Luiz P.; Sanabria, Alvaro; Ridge, John A.; Ng, Wai Tong; Bree, Remco; Rinaldo, Alessandra; Takes, Robert P.; Mäkitie, Antti A.; Carvalho, Andre L.; Bradford, Carol R.; Paleri, Vinidh; Hartl, Dana M.; Poorten, Vincent Vander; Nixon, Iain J.; Piazza, Cesare; Lacy, Peter; Rodrigo, Juan P.; Guntinas‐Lichius, Orlando; Mendenhall, William M.; D'Cruz, Anil; Lee, Anne W. M.; Ferlito, Alfio",,"Kowalski, Luiz P. (University of Sao Paulo; AC Camargo Hospital); Sanabria, Alvaro (University of Antioquia); Ridge, John A. (Temple University Health System); Ng, Wai Tong (Pamela Youde Nethersole Eastern Hospital); Bree, Remco (University Medical Center Utrecht); Rinaldo, Alessandra (University of Udine); Takes, Robert P. (Radboud University Nijmegen Medical Centre); Mäkitie, Antti A. (Helsinki University Central Hospital; University of Helsinki; Karolinska University Hospital); Carvalho, Andre L. (International Agency For Research On Cancer); Bradford, Carol R. (University of Michigan); Paleri, Vinidh (Royal Marsden Hospital); Hartl, Dana M. (University of Paris-Sud); Poorten, Vincent Vander (KU Leuven; Universitaire Ziekenhuizen Leuven); Nixon, Iain J. (University of Edinburgh); Piazza, Cesare (); Lacy, Peter (Beaumont Hospital); Rodrigo, Juan P. (); Guntinas‐Lichius, Orlando (Jena University Hospital); Mendenhall, William M. (University of Florida); D'Cruz, Anil (Tata Memorial Hospital); Lee, Anne W. M. (University of Hong Kong); Ferlito, Alfio ()",Universitaire Ziekenhuizen Leuven; Temple University Health System; University of Antioquia; Radboud University Nijmegen Medical Centre; KU Leuven; Beaumont Hospital; University of Helsinki; Tata Memorial Hospital; University of Florida; Jena University Hospital; International Agency For Research On Cancer; University Medical Center Utrecht; University of Hong Kong; Karolinska University Hospital; University of Paris-Sud; Pamela Youde Nethersole Eastern Hospital; University of Edinburgh; Royal Marsden Hospital; AC Camargo Hospital; University of Michigan; Helsinki University Central Hospital; University of Udine; University of Sao Paulo,grid.410569.f; grid.412530.1; grid.412881.6; grid.10417.33; grid.5596.f; grid.414315.6; grid.7737.4; grid.410871.b; grid.15276.37; grid.275559.9; grid.17703.32; grid.7692.a; grid.194645.b; grid.24381.3c; grid.5842.b; grid.417134.4; grid.4305.2; grid.424926.f; grid.413320.7; grid.214458.e; grid.15485.3d; grid.5390.f; grid.11899.38,Belgium; United States; Colombia; Netherlands; Belgium; Ireland; Finland; India; United States; Germany; France; Netherlands; China; Sweden; France; China; United Kingdom; United Kingdom; Brazil; United States; Finland; Italy; Brazil,,3,3,,,5,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hed.26164,https://app.dimensions.ai/details/publication/pub.1126385802,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1103 Clinical Sciences,
178,pub.1126881810,10.1089/hs.2020.0036,32320327,,Respiratory Protection Considerations for Healthcare Workers During the COVID-19 Pandemic,Health Security,,,2020-04-22,2020,,,,All OA; Gold,Article,"Friese, Christopher R.; Veenema, Tener Goodwin; Johnson, James S.; Jayaraman, Sundaresan; Chang, James C.; Clever, Linda Hawes","Veenema, Tener Goodwin (Johns Hopkins University)","Friese, Christopher R. (University of Michigan); Veenema, Tener Goodwin (Johns Hopkins University); Johnson, James S. (); Jayaraman, Sundaresan (Georgia Institute of Technology); Chang, James C. (); Clever, Linda Hawes ()",Georgia Institute of Technology; Johns Hopkins University; University of Michigan,grid.213917.f; grid.21107.35; grid.214458.e,United States; United States; United States,National Cancer Institute,0,0,,,10,https://www.liebertpub.com/doi/pdf/10.1089/hs.2020.0036,https://app.dimensions.ai/details/publication/pub.1126881810,1117 Public Health and Health Services; 11 Medical and Health Sciences,
178,pub.1126703036,10.1002/hep.31281,32298473,,Clinical Best Practice Advice for Hepatology and Liver Transplant Providers During the COVID‐19 Pandemic: AASLD Expert Panel Consensus Statement,Hepatology,,,2020-04-16,2020,,,,All OA; Gold,Article,"Fix, Oren K.; Hameed, Bilal; Fontana, Robert J.; Kwok, Ryan M.; McGuire, Brendan M.; Mulligan, David C.; Pratt, Daniel S.; Russo, Mark W.; Schilsky, Michael L.; Verna, Elizabeth C.; Loomba, Rohit; Cohen, David E.; Bezerra, Jorge A.; Reddy, K. Rajender; Chung, Raymond T.",,"Fix, Oren K. (Swedish Medical Center); Hameed, Bilal (University of California, San Francisco); Fontana, Robert J. (University of Michigan); Kwok, Ryan M. (Uniformed Services University of the Health Sciences); McGuire, Brendan M. (University of Alabama at Birmingham); Mulligan, David C. (Yale University); Pratt, Daniel S. (Massachusetts General Hospital); Russo, Mark W. (Carolinas Medical Center); Schilsky, Michael L. (Yale University); Verna, Elizabeth C. (Columbia University); Loomba, Rohit (University of California, San Diego); Cohen, David E. (Cornell University); Bezerra, Jorge A. (Cincinnati Children's Hospital Medical Center); Reddy, K. Rajender (University of Pennsylvania); Chung, Raymond T. (Massachusetts General Hospital)","Columbia University; University of Alabama at Birmingham; University of California, San Francisco; Uniformed Services University of the Health Sciences; University of Pennsylvania; Swedish Medical Center; Yale University; University of Michigan; Cornell University; Carolinas Medical Center; Cincinnati Children's Hospital Medical Center; University of California, San Diego; Massachusetts General Hospital",grid.21729.3f; grid.265892.2; grid.266102.1; grid.265436.0; grid.25879.31; grid.281044.b; grid.47100.32; grid.214458.e; grid.5386.8; grid.239494.1; grid.239573.9; grid.266100.3; grid.32224.35,United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States,,0,0,,,42,https://aasldpubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hep.31281,https://app.dimensions.ai/details/publication/pub.1126703036,11 Medical and Health Sciences; 1103 Clinical Sciences,
175,pub.1126277525,10.1213/ane.0000000000004856,32265365,PMC7173093,Obstetric Anesthesia During the COVID-19 Pandemic.,Anesthesia & Analgesia,,,2020-04,2020,,,1,All OA; Gold,Article,"Bauer, Melissa; Bernstein, Kyra; Dinges, Emily; Delgado, Carlos; El-Sharawi, Nadir; Sultan, Pervez; Mhyre, Jill M; Landau, Ruth",,"Bauer, Melissa (University of Michigan); Bernstein, Kyra (Columbia University); Dinges, Emily (University of Washington); Delgado, Carlos (University of Washington); El-Sharawi, Nadir (University of Arkansas for Medical Sciences); Sultan, Pervez (Stanford University); Mhyre, Jill M (University of Arkansas for Medical Sciences); Landau, Ruth (Columbia University)",University of Washington; University of Arkansas for Medical Sciences; Stanford University; Columbia University; University of Michigan,grid.34477.33; grid.241054.6; grid.168010.e; grid.21729.3f; grid.214458.e,United States; United States; United States; United States; United States,,1,1,,,27,https://journals.lww.com/anesthesia-analgesia/Abstract/publishahead/Obstetric_Anesthesia_During_the_COVID_19_Pandemic.95696.aspx,https://app.dimensions.ai/details/publication/pub.1126277525,1117 Public Health and Health Services; 11 Medical and Health Sciences,
171,pub.1126755578,10.1016/j.jacc.2020.04.031,32311448,PMC7164881,"COVID-19 and Thrombotic or Thromboembolic Disease: Implications for Prevention, Antithrombotic Therapy, and Follow-up",Journal of the American College of Cardiology,,,2020-04,2020,,,,Closed,Article,"Bikdeli, Behnood; Madhavan, Mahesh V.; Jimenez, David; Chuich, Taylor; Dreyfus, Isaac; Driggin, Elissa; Der Nigoghossian, Caroline; Ageno, Walter; Madjid, Mohammad; Guo, Yutao; Tang, Liang V.; Hu, Yu; Giri, Jay; Cushman, Mary; Quéré, Isabelle; Dimakakos, Evangelos P.; Gibson, C. Michael; Lippi, Giuseppe; Favaloro, Emmanuel J.; Fareed, Jawed; Caprini, Joseph A.; Tafur, Alfonso J.; Burton, John R.; Francese, Dominic P.; Wang, Elizabeth Y.; Falanga, Anna; McLintock, Claire; Hunt, Beverley J.; Spyropoulos, Alex C.; Barnes, Geoffrey D.; Eikelboom, John W.; Weinberg, Ido; Schulman, Sam; Carrier, Marc; Piazza, Gregory; Beckman, Joshua A.; Steg, P. Gabriel; Stone, Gregg W.; Rosenkranz, Stephan; Goldhaber, Samuel Z.; Parikh, Sahil A.; Monreal, Manuel; Krumholz, Harlan M.; Konstantinides, Stavros V.; Weitz, Jeffrey I.; Lip, Gregory Y.H.","Bikdeli, Behnood (NewYork–Presbyterian Hospital; Yale University; Cardiovascular Research Foundation)","Bikdeli, Behnood (NewYork–Presbyterian Hospital; Yale University; Cardiovascular Research Foundation); Madhavan, Mahesh V. (NewYork–Presbyterian Hospital; Cardiovascular Research Foundation); Jimenez, David (Institute of Health Carlos III); Chuich, Taylor (NewYork–Presbyterian Hospital); Dreyfus, Isaac (NewYork–Presbyterian Hospital); Driggin, Elissa (NewYork–Presbyterian Hospital); Der Nigoghossian, Caroline (NewYork–Presbyterian Hospital); Ageno, Walter (University of Insubria); Madjid, Mohammad (The University of Texas Health Science Center at Houston); Guo, Yutao (Chinese PLA General Hospital); Tang, Liang V. (Huazhong University of Science and Technology); Hu, Yu (Huazhong University of Science and Technology); Giri, Jay (Hospital of the University of Pennsylvania; University of Pennsylvania; Philadelphia VA Medical Center); Cushman, Mary (University of Vermont Medical Center); Quéré, Isabelle (University of Montpellier); Dimakakos, Evangelos P. (National and Kapodistrian University of Athens); Gibson, C. Michael (Harvard University; Beth Israel Deaconess Medical Center); Lippi, Giuseppe (Azienda Ospedaliera Universitaria Integrata Verona); Favaloro, Emmanuel J. (Westmead Hospital); Fareed, Jawed (Loyola University Medical Center); Caprini, Joseph A. (University of Chicago); Tafur, Alfonso J. (University of Chicago; NorthShore University HealthSystem); Burton, John R. (NewYork–Presbyterian Hospital); Francese, Dominic P. (Cardiovascular Research Foundation); Wang, Elizabeth Y. (NewYork–Presbyterian Hospital); Falanga, Anna (University of Milano-Bicocca); McLintock, Claire (Auckland City Hospital); Hunt, Beverley J. (St Thomas' Hospital); Spyropoulos, Alex C. (Hofstra University); Barnes, Geoffrey D. (University of Michigan); Eikelboom, John W. (Population Health Research Institute); Weinberg, Ido (Massachusetts General Hospital); Schulman, Sam (Sechenov University; McMaster University; Thrombosis and Atherosclerosis Research Institute); Carrier, Marc (Ottawa Hospital); Piazza, Gregory (Harvard University; Brigham and Women's Hospital); Beckman, Joshua A. (Vanderbilt University); Steg, P. Gabriel (Paris 12 Val de Marne University; Imperial College London); Stone, Gregg W. (Cardiovascular Research Foundation; Icahn School of Medicine at Mount Sinai); Rosenkranz, Stephan (University of Cologne); Goldhaber, Samuel Z. (Harvard University; Brigham and Women's Hospital); Parikh, Sahil A. (NewYork–Presbyterian Hospital; Cardiovascular Research Foundation); Monreal, Manuel (Hospital Universitari Germans Trias i Pujol); Krumholz, Harlan M. (Yale University; Yale University); Konstantinides, Stavros V. (Johannes Gutenberg University of Mainz); Weitz, Jeffrey I. (McMaster University; Thrombosis and Atherosclerosis Research Institute); Lip, Gregory Y.H. (Liverpool Heart and Chest Hospital; Aalborg University)",Ottawa Hospital; NorthShore University HealthSystem; Paris 12 Val de Marne University; The University of Texas Health Science Center at Houston; Beth Israel Deaconess Medical Center; Harvard University; Aalborg University; Huazhong University of Science and Technology; Imperial College London; National and Kapodistrian University of Athens; Yale University; University of Milano-Bicocca; Brigham and Women's Hospital; Westmead Hospital; University of Vermont Medical Center; Vanderbilt University; Chinese PLA General Hospital; University of Montpellier; St Thomas' Hospital; Population Health Research Institute; University of Pennsylvania; NewYork–Presbyterian Hospital; Thrombosis and Atherosclerosis Research Institute; University of Cologne; Liverpool Heart and Chest Hospital; Johannes Gutenberg University of Mainz; Auckland City Hospital; University of Insubria; Hospital of the University of Pennsylvania; Hofstra University; University of Michigan; Icahn School of Medicine at Mount Sinai; Hospital Universitari Germans Trias i Pujol; Cardiovascular Research Foundation; Institute of Health Carlos III; Azienda Ospedaliera Universitaria Integrata Verona; Loyola University Medical Center; University of Chicago; Massachusetts General Hospital; Philadelphia VA Medical Center; McMaster University; Sechenov University,grid.412687.e; grid.240372.0; grid.410511.0; grid.267308.8; grid.239395.7; grid.38142.3c; grid.5117.2; grid.33199.31; grid.7445.2; grid.5216.0; grid.47100.32; grid.7563.7; grid.62560.37; grid.413252.3; grid.414924.e; grid.152326.1; grid.414252.4; grid.121334.6; grid.425213.3; grid.415102.3; grid.25879.31; grid.413734.6; grid.418562.c; grid.6190.e; grid.415992.2; grid.5802.f; grid.414055.1; grid.18147.3b; grid.411115.1; grid.257060.6; grid.214458.e; grid.59734.3c; grid.411438.b; grid.418668.5; grid.413448.e; grid.411475.2; grid.411451.4; grid.170205.1; grid.32224.35; grid.410355.6; grid.25073.33; grid.448878.f,Canada; United States; France; United States; United States; United States; Denmark; China; United Kingdom; Greece; United States; Italy; United States; Australia; United States; United States; China; France; United Kingdom; Canada; United States; United States; Canada; Germany; United Kingdom; Germany; New Zealand; Italy; United States; United States; United States; United States; Spain; United States; Spain; Italy; United States; United States; United States; United States; Canada; Russia,National Heart Lung and Blood Institute,0,0,,,963,,https://app.dimensions.ai/details/publication/pub.1126755578,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,
166,pub.1126372956,10.1093/jpids/piaa037,32314790,,What’s New With the Old Coronaviruses?,Journal of the Pediatric Infectious Diseases Society,,,2020-04-21,2020,,,,Closed,Article,"Ogimi, Chikara; Kim, Yae Jean; Martin, Emily T; Huh, Hee Jae; Chiu, Cheng-Hsun; Englund, Janet A",,"Ogimi, Chikara (University of Washington); Kim, Yae Jean (); Martin, Emily T (University of Michigan); Huh, Hee Jae (); Chiu, Cheng-Hsun (); Englund, Janet A (University of Washington)",University of Michigan; University of Washington,grid.214458.e; grid.34477.33,United States; United States,National Institute of Allergy and Infectious Diseases,0,0,,,1,,https://app.dimensions.ai/details/publication/pub.1126372956,1108 Medical Microbiology; 11 Medical and Health Sciences,
158,pub.1125838384,10.1093/ofid/ofaa105,32284951,PMC7144823,COVID-19 Treatment: A Review of Early and Emerging Options,Open Forum Infectious Diseases,,,2020-04-01,2020,7,4,ofaa105,All OA; Gold,Article,"McCreary, Erin K; Pogue, Jason M",,"McCreary, Erin K (University of Pittsburgh Medical Center); Pogue, Jason M (University of Michigan)",University of Pittsburgh Medical Center; University of Michigan,grid.412689.0; grid.214458.e,United States; United States,,2,2,,,723,https://academic.oup.com/ofid/article-pdf/7/4/ofaa105/33030979/ofaa105.pdf,https://app.dimensions.ai/details/publication/pub.1125838384,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1103 Clinical Sciences,
153,pub.1126273025,10.1016/j.clim.2020.108410,32276140,PMC7139239,Epigenetic dysregulation of ACE2 and interferon-regulated genes might suggest increased COVID-19 susceptibility and severity in lupus patients,Clinical Immunology,,,2020-06,2020,215,,108410,All OA; Gold,Article,"Sawalha, Amr H.; Zhao, Ming; Coit, Patrick; Lu, Qianjin","Sawalha, Amr H. (University of Pittsburgh; University of Pittsburgh)","Sawalha, Amr H. (University of Pittsburgh; University of Pittsburgh); Zhao, Ming (Second Xiangya Hospital of Central South University; Second Xiangya Hospital of Central South University); Coit, Patrick (University of Michigan); Lu, Qianjin (Second Xiangya Hospital of Central South University; Second Xiangya Hospital of Central South University)",University of Michigan; University of Pittsburgh; Second Xiangya Hospital of Central South University,grid.214458.e; grid.21925.3d; grid.452708.c,United States; United States; China,National Institute of Allergy and Infectious Diseases; National Natural Science Foundation of China,1,1,,,15,https://doi.org/10.1016/j.clim.2020.108410,https://app.dimensions.ai/details/publication/pub.1126273025,11 Medical and Health Sciences; 1107 Immunology,
