"About the data: Exported on May 11, 2020. Criteria: Text - '""2019-nCoV"" OR ""COVID-19"" OR “SARS-CoV-2” OR ""HCoV-2019"" OR ""hcov"" OR ""NCOVID-19"" OR  ""severe acute respiratory syndrome coronavirus 2"" OR ""severe acute respiratory syndrome corona virus 2"" OR ((""coro...' in full data; Publication Year is 2020; Research Organization is University of Michigan–Flint or University of Michigan–Dearborn or University of Michigan. For more information, please see https://app.dimensions.ai/datasources. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,Sustainable Development Goals
27,pub.1127237320,10.1186/s13054-020-02897-4,32354367,PMC7191969,Soluble urokinase plasminogen activator receptor (suPAR) as an early predictor of severe respiratory failure in patients with COVID-19 pneumonia,Critical Care,,"Aged; Betacoronavirus; Biomarkers; Clinical Laboratory Techniques; Coronavirus Infections; Female; Humans; Immunoenzyme Techniques; Male; Middle Aged; Pandemics; Pneumonia, Viral; Receptors, Urokinase Plasminogen Activator; Respiratory Insufficiency",2020-12,2020,24,1,187,All OA; Gold,Article,"Rovina, Nikoletta; Akinosoglou, Karolina; Eugen-Olsen, Jesper; Hayek, Salim; Reiser, Jochen; Giamarellos-Bourboulis, Evangelos J.","Reiser, Jochen (Rush University Medical Center)","Rovina, Nikoletta (National and Kapodistrian University of Athens); Akinosoglou, Karolina (University of Patras); Eugen-Olsen, Jesper (); Hayek, Salim (University of Michigan); Reiser, Jochen (Rush University Medical Center); Giamarellos-Bourboulis, Evangelos J. (National and Kapodistrian University of Athens; University General Hospital Attikon)",University of Michigan; Rush University Medical Center; National and Kapodistrian University of Athens; University General Hospital Attikon; University of Patras,grid.214458.e; grid.240684.c; grid.5216.0; grid.411449.d; grid.11047.33,United States; United States; Greece; Greece; Greece,,0,0,,,93,https://ccforum.biomedcentral.com/track/pdf/10.1186/s13054-020-02897-4,https://app.dimensions.ai/details/publication/pub.1127237320,11 Medical and Health Sciences,
17,pub.1126671524,10.1186/s13063-020-04304-3,32293511,PMC7156793,COVID-19 randomised trial protocols: rapid publication without barriers,Trials,,"Abstracting and Indexing; Access to Information; Betacoronavirus; Coronavirus Infections; Disclosure; Editorial Policies; Humans; Pandemics; Pneumonia, Viral; Randomized Controlled Trials as Topic; Time Factors",2020-12,2020,21,1,327,All OA; Gold,Article,"Treweek, Shaun; Jüni, Peter; Li, Tianjing; Collin, Jonathan; Briel, Matthias; Chan, An-Wen; Hemming, Karla; Meurer, William J.; Sydes, Matthew R.; Grimshaw, Jeremy M.","Treweek, Shaun (University of Aberdeen)","Treweek, Shaun (University of Aberdeen); Jüni, Peter (University of Toronto); Li, Tianjing (University of Colorado Denver); Collin, Jonathan (BioMed Central (United Kingdom)); Briel, Matthias (University of Basel); Chan, An-Wen (University of Toronto); Hemming, Karla (University of Birmingham); Meurer, William J. (University of Michigan); Sydes, Matthew R. (University College London); Grimshaw, Jeremy M. (Ottawa Hospital)",University of Michigan; University of Toronto; University College London; University of Basel; University of Birmingham; BioMed Central (United Kingdom); University of Aberdeen; University of Colorado Denver; Ottawa Hospital,grid.214458.e; grid.17063.33; grid.83440.3b; grid.6612.3; grid.6572.6; grid.431362.1; grid.7107.1; grid.241116.1; grid.412687.e,United States; Canada; United Kingdom; Switzerland; United Kingdom; United Kingdom; United Kingdom; United States; Canada,Medical Research Council,0,0,,,51,http://dx.doi.org/10.1186/s13063-020-04304-3,https://app.dimensions.ai/details/publication/pub.1126671524,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences; 1103 Clinical Sciences,
0,pub.1127124858,10.1186/s13012-020-00990-4,32334632,PMC7183389,"The Balanced Opioid Initiative: protocol for a clustered, sequential, multiple-assignment randomized trial to construct an adaptive implementation strategy to improve guideline-concordant opioid prescribing in primary care",Implementation Science,,,2020-12,2020,15,1,26,All OA; Gold,Article,"Quanbeck, Andrew; Almirall, Daniel; Jacobson, Nora; Brown, Randall T.; Landeck, Jillian K.; Madden, Lynn; Cohen, Andrew; Deyo, Brienna M. F.; Robinson, James; Johnson, Roberta A.; Schumacher, Nicholas","Quanbeck, Andrew (University of Wisconsin–Madison)","Quanbeck, Andrew (University of Wisconsin–Madison); Almirall, Daniel (University of Michigan); Jacobson, Nora (University of Wisconsin–Madison); Brown, Randall T. (University of Wisconsin–Madison); Landeck, Jillian K. (University of Wisconsin–Madison); Madden, Lynn (APT Foundation); Cohen, Andrew (); Deyo, Brienna M. F. (University of Wisconsin–Madison); Robinson, James (); Johnson, Roberta A. (University of Wisconsin–Madison); Schumacher, Nicholas (University of Wisconsin–Madison)",APT Foundation; University of Michigan; University of Wisconsin–Madison,grid.422797.d; grid.214458.e; grid.14003.36,United States; United States; United States,National Institute on Drug Abuse,0,0,,,4,https://implementationscience.biomedcentral.com/track/pdf/10.1186/s13012-020-00990-4,https://app.dimensions.ai/details/publication/pub.1127124858,1117 Public Health and Health Services; 11 Medical and Health Sciences,
87,pub.1126726181,10.1084/jem.20200652,32302401,PMC7161085,Targeting potential drivers of COVID-19: Neutrophil extracellular traps,Journal of Experimental Medicine,,"Betacoronavirus; Coronavirus Infections; Cytokines; Extracellular Traps; Humans; Lung Diseases; Neutrophils; Pandemics; Pneumonia, Viral",2020-06-01,2020,217,6,,All OA; Gold,Article,"Barnes, Betsy J.; Adrover, Jose M.; Baxter-Stoltzfus, Amelia; Borczuk, Alain; Cools-Lartigue, Jonathan; Crawford, James M.; Daßler-Plenker, Juliane; Guerci, Philippe; Huynh, Caroline; Knight, Jason S.; Loda, Massimo; Looney, Mark R.; McAllister, Florencia; Rayes, Roni; Renaud, Stephane; Rousseau, Simon; Salvatore, Steven; Schwartz, Robert E.; Spicer, Jonathan D.; Yost, Christian C.; Weber, Andrew; Zuo, Yu; Egeblad, Mikala",,"Barnes, Betsy J. (Hofstra University); Adrover, Jose M. (Cold Spring Harbor Laboratory); Baxter-Stoltzfus, Amelia (Cornell University); Borczuk, Alain (Cornell University); Cools-Lartigue, Jonathan (); Crawford, James M. (Hofstra University); Daßler-Plenker, Juliane (Cold Spring Harbor Laboratory); Guerci, Philippe (Centre Hospitalier Universitaire de Nancy); Huynh, Caroline (McGill University); Knight, Jason S. (University of Michigan); Loda, Massimo (Cornell University); Looney, Mark R. (University of California, San Francisco); McAllister, Florencia (The University of Texas MD Anderson Cancer Center); Rayes, Roni (McGill University); Renaud, Stephane (Centre Hospitalier Universitaire de Nancy); Rousseau, Simon (McGill University Health Centre); Salvatore, Steven (Cornell University); Schwartz, Robert E. (Cornell University); Spicer, Jonathan D. (McGill University); Yost, Christian C. (University of Utah); Weber, Andrew (Northwell Health); Zuo, Yu (University of Michigan); Egeblad, Mikala (Cold Spring Harbor Laboratory)","University of California, San Francisco; Northwell Health; Cornell University; McGill University; McGill University Health Centre; University of Utah; Cold Spring Harbor Laboratory; The University of Texas MD Anderson Cancer Center; University of Michigan; Hofstra University; Centre Hospitalier Universitaire de Nancy",grid.266102.1; grid.416477.7; grid.5386.8; grid.14709.3b; grid.63984.30; grid.223827.e; grid.225279.9; grid.240145.6; grid.214458.e; grid.257060.6; grid.410527.5,United States; United States; United States; Canada; Canada; United States; United States; United States; United States; United States; France,National Cancer Institute; Baxter (United States),3,3,,,983,https://rupress.org/jem/article-pdf/217/6/e20200652/1042395/jem_20200652.pdf,https://app.dimensions.ai/details/publication/pub.1126726181,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,
4,pub.1127428267,10.12788/jhm.3439,32379035,PMC7205001,Innovation and Knowledge Sharing Can Transform COVID-19 Infection Prevention Response.,Journal of Hospital Medicine,,,2020-06-01,2020,15,5,299-301,Closed,Article,"Nathavitharana, Ruvandhi R; Patel, Payal K; Tierney, Dylan B; Mehrotra, Preeti; Lederer, Philip A; Davis, Sheila; Nardell, Edward",,"Nathavitharana, Ruvandhi R (Beth Israel Deaconess Medical Center; Harvard University); Patel, Payal K (VA Ann Arbor Healthcare System; University of Michigan); Tierney, Dylan B (Harvard University; Brigham and Women's Hospital); Mehrotra, Preeti (Beth Israel Deaconess Medical Center; Harvard University); Lederer, Philip A (Boston Medical Center); Davis, Sheila (Partners In Health); Nardell, Edward (Harvard University; Brigham and Women's Hospital)",Harvard University; Boston Medical Center; Brigham and Women's Hospital; University of Michigan; Beth Israel Deaconess Medical Center; VA Ann Arbor Healthcare System; Partners In Health,grid.38142.3c; grid.239424.a; grid.62560.37; grid.214458.e; grid.239395.7; grid.413800.e; grid.417182.9,United States; United States; United States; United States; United States; United States; United States,,0,0,,,20,,https://app.dimensions.ai/details/publication/pub.1127428267,11 Medical and Health Sciences; 1103 Clinical Sciences,
226,pub.1126650360,10.1016/j.jcv.2020.104372,32335336,PMC7195345,SARS-CoV-2: Is it the Newest Spark in the TORCH?,Journal of Clinical Virology,,,2020-06,2020,127,,104372,All OA; Gold,Article,"Muldoon, Kathleen M.; Fowler, Karen B.; Pesch, Megan H.; Schleiss, Mark R.","Schleiss, Mark R. (University of Minnesota; National CMV Foundation)","Muldoon, Kathleen M. (Midwestern University; National CMV Foundation); Fowler, Karen B. (University of Alabama at Birmingham; National CMV Foundation); Pesch, Megan H. (University of Michigan; National CMV Foundation); Schleiss, Mark R. (University of Minnesota; National CMV Foundation)",University of Michigan; Midwestern University; University of Alabama at Birmingham; National CMV Foundation; University of Minnesota,grid.214458.e; grid.260024.2; grid.265892.2; grid.490725.d; grid.17635.36,United States; United States; United States; United States; United States,National Institute of Child Health and Human Development,0,0,,,84,https://doi.org/10.1016/j.jcv.2020.104372,https://app.dimensions.ai/details/publication/pub.1126650360,1117 Public Health and Health Services; 1108 Medical Microbiology; 11 Medical and Health Sciences; 1114 Paediatrics and Reproductive Medicine,3 Good Health and Well Being
150,pub.1126273025,10.1016/j.clim.2020.108410,32276140,PMC7139239,Epigenetic dysregulation of ACE2 and interferon-regulated genes might suggest increased COVID-19 susceptibility and severity in lupus patients,Clinical Immunology,,,2020-06,2020,215,,108410,All OA; Gold,Article,"Sawalha, Amr H.; Zhao, Ming; Coit, Patrick; Lu, Qianjin","Sawalha, Amr H. (University of Pittsburgh; University of Pittsburgh)","Sawalha, Amr H. (University of Pittsburgh; University of Pittsburgh); Zhao, Ming (Second Xiangya Hospital of Central South University; Second Xiangya Hospital of Central South University); Coit, Patrick (University of Michigan); Lu, Qianjin (Second Xiangya Hospital of Central South University; Second Xiangya Hospital of Central South University)",Second Xiangya Hospital of Central South University; University of Pittsburgh; University of Michigan,grid.452708.c; grid.21925.3d; grid.214458.e,China; United States; United States,National Natural Science Foundation of China; National Institute of Allergy and Infectious Diseases,5,5,,,16,https://doi.org/10.1016/j.clim.2020.108410,https://app.dimensions.ai/details/publication/pub.1126273025,11 Medical and Health Sciences; 1107 Immunology,
19,pub.1127404405,10.1111/jgs.16537,32374440,,AGS Position Statement: Resource Allocation Strategies and Age‐Related Considerations in the COVID‐19 Era and Beyond,Journal of the American Geriatrics Society,,,2020-05-06,2020,,,,All OA; Gold,Article,"Farrell, Timothy W.; Ferrante, Lauren E.; Brown, Teneille; Francis, Leslie; Widera, Eric; Rhodes, Ramona; Rosen, Tony; Hwang, Ula; Witt, Leah J.; Thothala, Niranjan; Liu, Shan W.; Vitale, Caroline A.; Braun, Ursula K.; Stephens, Caroline; Saliba, Debra",,"Farrell, Timothy W. (University of Utah; VA Salt Lake City Healthcare System; University of Utah); Ferrante, Lauren E. (Yale University); Brown, Teneille (University of Utah); Francis, Leslie (University of Utah; University of Utah); Widera, Eric (University of California, San Francisco); Rhodes, Ramona (The University of Texas Southwestern Medical Center); Rosen, Tony (); Hwang, Ula (Icahn School of Medicine at Mount Sinai; James J Peters VA Medical Center); Witt, Leah J. (University of California, San Francisco); Thothala, Niranjan (Good Samaritan Hospital; Union Hospital); Liu, Shan W. (Massachusetts General Hospital); Vitale, Caroline A. (University of Michigan); Braun, Ursula K. (Baylor College of Medicine; Michael E. DeBakey VA Medical Center); Stephens, Caroline (University of Utah); Saliba, Debra (University of California, Los Angeles; VA Greater Los Angeles Healthcare System; RAND Corporation)","Michael E. DeBakey VA Medical Center; Baylor College of Medicine; Massachusetts General Hospital; Yale University; The University of Texas Southwestern Medical Center; VA Greater Los Angeles Healthcare System; University of Utah; Icahn School of Medicine at Mount Sinai; Union Hospital; RAND Corporation; University of California, Los Angeles; James J Peters VA Medical Center; University of California, San Francisco; Good Samaritan Hospital; University of Michigan; VA Salt Lake City Healthcare System",grid.413890.7; grid.39382.33; grid.32224.35; grid.47100.32; grid.267313.2; grid.417119.b; grid.223827.e; grid.59734.3c; grid.430597.c; grid.34474.30; grid.19006.3e; grid.274295.f; grid.266102.1; grid.413160.1; grid.214458.e; grid.280807.5,United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States,,1,1,,,66,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jgs.16537,https://app.dimensions.ai/details/publication/pub.1127404405,1117 Public Health and Health Services; 11 Medical and Health Sciences,"16 Peace, Justice and Strong Institutions; 3 Good Health and Well Being"
19,pub.1127403358,10.1111/jgs.16539,32374466,,Rationing Limited Health Care Resources in the COVID‐19 Era and Beyond: Ethical Considerations Regarding Older Adults,Journal of the American Geriatrics Society,,,2020-05-06,2020,,,,All OA; Gold,Article,"Farrell, Timothy W.; Francis, Leslie; Brown, Teneille; Ferrante, Lauren E.; Widera, Eric; Rhodes, Ramona; Rosen, Tony; Hwang, Ula; Witt, Leah J.; Thothala, Niranjan; Liu, Shan W.; Vitale, Caroline A.; Braun, Ursula K.; Stephens, Caroline; Saliba, Debra",,"Farrell, Timothy W. (University of Utah; VA Salt Lake City Healthcare System; University of Utah); Francis, Leslie (University of Utah; University of Utah); Brown, Teneille (University of Utah); Ferrante, Lauren E. (Yale University); Widera, Eric (University of California, San Francisco); Rhodes, Ramona (The University of Texas Southwestern Medical Center); Rosen, Tony (); Hwang, Ula (Icahn School of Medicine at Mount Sinai; James J Peters VA Medical Center); Witt, Leah J. (University of California, San Francisco); Thothala, Niranjan (Good Samaritan Hospital; Union Hospital); Liu, Shan W. (Massachusetts General Hospital); Vitale, Caroline A. (University of Michigan); Braun, Ursula K. (Baylor College of Medicine; Michael E. DeBakey VA Medical Center); Stephens, Caroline (University of Utah); Saliba, Debra (University of California, Los Angeles; VA Greater Los Angeles Healthcare System; RAND Corporation)","Michael E. DeBakey VA Medical Center; Baylor College of Medicine; Massachusetts General Hospital; Yale University; The University of Texas Southwestern Medical Center; VA Greater Los Angeles Healthcare System; University of Utah; Icahn School of Medicine at Mount Sinai; Union Hospital; RAND Corporation; University of California, Los Angeles; James J Peters VA Medical Center; University of California, San Francisco; Good Samaritan Hospital; University of Michigan; VA Salt Lake City Healthcare System",grid.413890.7; grid.39382.33; grid.32224.35; grid.47100.32; grid.267313.2; grid.417119.b; grid.223827.e; grid.59734.3c; grid.430597.c; grid.34474.30; grid.19006.3e; grid.274295.f; grid.266102.1; grid.413160.1; grid.214458.e; grid.280807.5,United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States,,1,1,,,3,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jgs.16539,https://app.dimensions.ai/details/publication/pub.1127403358,1117 Public Health and Health Services; 11 Medical and Health Sciences,
180,pub.1127402512,10.1681/asn.2020040432,32371536,,Ultrastructural Evidence for Direct Renal Infection with SARS-CoV-2,Journal of the American Society of Nephrology,,,2020-05-05,2020,,,asn.2020040432,All OA; Gold,Article,"Farkash, Evan A; Wilson, Allecia M; Jentzen, Jeffrey M",,"Farkash, Evan A (University of Michigan); Wilson, Allecia M (University of Michigan); Jentzen, Jeffrey M (University of Michigan)",University of Michigan,grid.214458.e,United States,,0,0,,,37,https://jasn.asnjournals.org/content/jnephrol/early/2020/05/04/ASN.2020040432.full.pdf,https://app.dimensions.ai/details/publication/pub.1127402512,1108 Medical Microbiology; 11 Medical and Health Sciences,
