"About the data: Exported on Jul 13, 2020. Criteria: Text - '""2019-nCoV"" OR ""COVID-19"" OR “SARS-CoV-2” OR ""HCoV-2019"" OR ""hcov"" OR ""NCOVID-19"" OR  ""severe acute respiratory syndrome coronavirus 2"" OR ""severe acute respiratory syndrome corona virus 2"" OR ((""coro...' in full data; Publication Year is 2020; Research Organization is University of Michigan–Flint or University of Michigan–Dearborn or University of Michigan or Michigan Medicine or VA Ann Arbor Healthcare System. For more information, please see https://app.dimensions.ai/datasources. © 2020 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,Sustainable Development Goals
35,pub.1128300941,10.1186/s13012-020-01006-x,32513292,PMC7276954,Implementation science in times of Covid-19,Implementation Science,,"Betacoronavirus; Communicable Disease Control; Coronavirus Infections; Data Collection; Data Interpretation, Statistical; Health Services Accessibility; Humans; Implementation Science; Pandemics; Pneumonia, Viral; Telemedicine",2020-12,2020,15,1,42,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",VA Ann Arbor Healthcare System; National Disability Insurance Agency; University Hospital Heidelberg; Heidelberg University; University of Manchester; University of Michigan,grid.413800.e; grid.507363.4; grid.5253.1; grid.7700.0; grid.5379.8; grid.214458.e,United States; Australia; Germany; Germany; United Kingdom; United States,,0,0,,,41,https://implementationscience.biomedcentral.com/track/pdf/10.1186/s13012-020-01006-x,https://app.dimensions.ai/details/publication/pub.1128300941,1117 Public Health and Health Services; 11 Medical and Health Sciences,
35,pub.1128417885,10.1038/s41597-020-0523-6,32533075,PMC7293349,"CIDO, a community-based ontology for coronavirus disease knowledge and data integration, sharing, and analysis",Scientific Data,,,2020-12,2020,7,1,181,All OA; Gold,Article,"He, Yongqun; Yu, Hong; Ong, Edison; Wang, Yang; Liu, Yingtong; Huffman, Anthony; Huang, Hsin-hui; Beverley, John; Hur, Junguk; Yang, Xiaolin; Chen, Luonan; Omenn, Gilbert S.; Athey, Brian; Smith, Barry","He, Yongqun (University of Michigan)","He, Yongqun (University of Michigan); Yu, Hong (Guizhou University); Ong, Edison (University of Michigan); Wang, Yang (University of Michigan; Guizhou University); Liu, Yingtong (University of Michigan); Huffman, Anthony (University of Michigan); Huang, Hsin-hui (University of Michigan; National Yang Ming University); Beverley, John (Northwestern University); Hur, Junguk (University of North Dakota); Yang, Xiaolin (Chinese Academy of Medical Sciences & Peking Union Medical College); Chen, Luonan (Shanghai Institutes for Biological Sciences; Chinese Academy of Sciences); Omenn, Gilbert S. (University of Michigan); Athey, Brian (University of Michigan); Smith, Barry (University at Buffalo, State University of New York)","Guizhou University; University of North Dakota; Shanghai Institutes for Biological Sciences; University of Michigan; Northwestern University; Chinese Academy of Sciences; University at Buffalo, State University of New York; National Yang Ming University; Chinese Academy of Medical Sciences & Peking Union Medical College",grid.443382.a; grid.266862.e; grid.419092.7; grid.214458.e; grid.16753.36; grid.9227.e; grid.273335.3; grid.260770.4; grid.506261.6,China; United States; China; United States; United States; China; United States; Taiwan; China,National Center for Advancing Translational Sciences; National Institute of Allergy and Infectious Diseases; National Cancer Institute; National Institute of General Medical Sciences; United States National Library of Medicine; National Institute of Environmental Health Sciences,0,0,,,5,https://www.nature.com/articles/s41597-020-0523-6.pdf,https://app.dimensions.ai/details/publication/pub.1128417885,,
25,pub.1127237320,10.1186/s13054-020-02897-4,32354367,PMC7191969,Soluble urokinase plasminogen activator receptor (suPAR) as an early predictor of severe respiratory failure in patients with COVID-19 pneumonia,Critical Care,,"Aged; Betacoronavirus; Biomarkers; Clinical Laboratory Techniques; Coronavirus Infections; Female; Humans; Immunoenzyme Techniques; Male; Middle Aged; Pandemics; Pneumonia, Viral; Receptors, Urokinase Plasminogen Activator; Respiratory Insufficiency",2020-12,2020,24,1,187,All OA; Gold,Article,"Rovina, Nikoletta; Akinosoglou, Karolina; Eugen-Olsen, Jesper; Hayek, Salim; Reiser, Jochen; Giamarellos-Bourboulis, Evangelos J.","Reiser, Jochen (Rush University Medical Center)","Rovina, Nikoletta (National and Kapodistrian University of Athens); Akinosoglou, Karolina (University of Patras); Eugen-Olsen, Jesper (); Hayek, Salim (University of Michigan); Reiser, Jochen (Rush University Medical Center); Giamarellos-Bourboulis, Evangelos J. (National and Kapodistrian University of Athens; University General Hospital Attikon)",National and Kapodistrian University of Athens; University General Hospital Attikon; University of Michigan; Rush University Medical Center; University of Patras,grid.5216.0; grid.411449.d; grid.214458.e; grid.240684.c; grid.11047.33,Greece; Greece; United States; United States; Greece,,6,6,,,115,https://ccforum.biomedcentral.com/track/pdf/10.1186/s13054-020-02897-4,https://app.dimensions.ai/details/publication/pub.1127237320,11 Medical and Health Sciences,
14,pub.1126671524,10.1186/s13063-020-04304-3,32293511,PMC7156793,COVID-19 randomised trial protocols: rapid publication without barriers,Trials,,"Abstracting and Indexing; Access to Information; Betacoronavirus; Coronavirus Infections; Disclosure; Editorial Policies; Humans; Pandemics; Pneumonia, Viral; Randomized Controlled Trials as Topic; Time Factors",2020-12,2020,21,1,327,All OA; Gold,Article,"Treweek, Shaun; Jüni, Peter; Li, Tianjing; Collin, Jonathan; Briel, Matthias; Chan, An-Wen; Hemming, Karla; Meurer, William J.; Sydes, Matthew R.; Grimshaw, Jeremy M.","Treweek, Shaun (University of Aberdeen)","Treweek, Shaun (University of Aberdeen); Jüni, Peter (University of Toronto); Li, Tianjing (University of Colorado Denver); Collin, Jonathan (BioMed Central (United Kingdom)); Briel, Matthias (University of Basel); Chan, An-Wen (University of Toronto); Hemming, Karla (University of Birmingham); Meurer, William J. (University of Michigan); Sydes, Matthew R. (University College London); Grimshaw, Jeremy M. (Ottawa Hospital)",University of Colorado Denver; BioMed Central (United Kingdom); University of Birmingham; University College London; University of Michigan; University of Toronto; University of Basel; Ottawa Hospital; University of Aberdeen,grid.241116.1; grid.431362.1; grid.6572.6; grid.83440.3b; grid.214458.e; grid.17063.33; grid.6612.3; grid.412687.e; grid.7107.1,United States; United Kingdom; United Kingdom; United Kingdom; United States; Canada; Switzerland; Canada; United Kingdom,Medical Research Council,0,0,,,52,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-020-04304-3,https://app.dimensions.ai/details/publication/pub.1126671524,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences; 1103 Clinical Sciences,
1,pub.1128490589,10.1186/s12874-020-01024-9,32539726,PMC7295690,Using online technologies to improve diversity and inclusion in cognitive interviews with young people,BMC Medical Research Methodology,,"Adolescent; Betacoronavirus; Cognition; Coronavirus Infections; Feasibility Studies; Female; Health Surveys; Humans; Internet; Interviews as Topic; Male; Pandemics; Pneumonia, Viral; Psychometrics; Reproducibility of Results; Sexual Behavior; Sexual and Gender Minorities; United States; Young Adult",2020-12,2020,20,1,159,All OA; Gold,Article,"Upadhyay, Ushma D.; Lipkovich, Heather","Upadhyay, Ushma D. (University of California, San Francisco; University of California, San Francisco)","Upadhyay, Ushma D. (University of California, San Francisco; University of California, San Francisco); Lipkovich, Heather (University of California, San Francisco; University of Michigan)","University of California, San Francisco; University of Michigan",grid.266102.1; grid.214458.e,United States; United States,National Institute of Child Health and Human Development,0,0,,,16,https://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-020-01024-9,https://app.dimensions.ai/details/publication/pub.1128490589,1117 Public Health and Health Services; 11 Medical and Health Sciences,4 Quality Education
1,pub.1128824958,10.1186/s12882-020-01901-x,32600374,PMC7323369,Prognostic imaging biomarkers for diabetic kidney disease (iBEAt): study protocol,BMC Nephrology,,,2020-12,2020,21,1,242,All OA; Gold,Article,"Gooding, Kim M.; Lienczewski, Chrysta; Papale, Massimo; Koivuviita, Niina; Maziarz, Marlena; Dutius Andersson, Anna-Maria; Sharma, Kanishka; Pontrelli, Paola; Garcia Hernandez, Alberto; Bailey, Julie; Tobin, Kay; Saunavaara, Virva; Zetterqvist, Anna; Shelley, David; Teh, Irvin; Ball, Claire; Puppala, Sapna; Ibberson, Mark; Karihaloo, Anil; Metsärinne, Kaj; Banks, Rosamonde E.; Gilmour, Peter S.; Mansfield, Michael; Gilchrist, Mark; de Zeeuw, Dick; Heerspink, Hiddo J. L.; Nuutila, Pirjo; Kretzler, Matthias; Welberry Smith, Matthew; Gesualdo, Loreto; Andress, Dennis; Grenier, Nicolas; Shore, Angela C.; Gomez, Maria F.; Sourbron, Steven; ","Gooding, Kim M. (University of Exeter; Royal Devon & Exeter NHS Foundation Trust)","Gooding, Kim M. (University of Exeter; Royal Devon & Exeter NHS Foundation Trust); Lienczewski, Chrysta (University of Michigan); Papale, Massimo (University of Bari Aldo Moro); Koivuviita, Niina (Turku University Hospital; Turku PET Centre); Maziarz, Marlena (Lund University); Dutius Andersson, Anna-Maria (Lund University); Sharma, Kanishka (University of Sheffield); Pontrelli, Paola (University of Bari Aldo Moro); Garcia Hernandez, Alberto (Astellas Pharma (Netherlands)); Bailey, Julie (Leeds Teaching Hospitals NHS Trust); Tobin, Kay (Leeds Teaching Hospitals NHS Trust); Saunavaara, Virva (Turku University Hospital); Zetterqvist, Anna (Lund University); Shelley, David (Leeds Teaching Hospitals NHS Trust; University of Leeds); Teh, Irvin (University of Leeds); Ball, Claire (Royal Devon & Exeter NHS Foundation Trust); Puppala, Sapna (Leeds Teaching Hospitals NHS Trust); Ibberson, Mark (Swiss Institute of Bioinformatics); Karihaloo, Anil (Novo Nordisk (United States)); Metsärinne, Kaj (Turku University Hospital); Banks, Rosamonde E. (University of Leeds); Gilmour, Peter S. (); Mansfield, Michael (Leeds Teaching Hospitals NHS Trust); Gilchrist, Mark (University of Exeter); de Zeeuw, Dick (University Medical Center Groningen; University of Groningen); Heerspink, Hiddo J. L. (University Medical Center Groningen; University of Groningen); Nuutila, Pirjo (Turku University Hospital; Turku PET Centre); Kretzler, Matthias (University of Michigan); Welberry Smith, Matthew (Leeds Teaching Hospitals NHS Trust); Gesualdo, Loreto (University of Bari Aldo Moro); Andress, Dennis (AbbVie (United States)); Grenier, Nicolas (); Shore, Angela C. (University of Exeter; Royal Devon & Exeter NHS Foundation Trust); Gomez, Maria F. (Lund University); Sourbron, Steven (University of Sheffield);  ()",Lund University; Turku PET Centre; University of Sheffield; Swiss Institute of Bioinformatics; Novo Nordisk (United States); University Medical Center Groningen; University of Bari Aldo Moro; Royal Devon & Exeter NHS Foundation Trust; Leeds Teaching Hospitals NHS Trust; University of Michigan; University of Exeter; University of Groningen; University of Leeds; AbbVie (United States); Astellas Pharma (Netherlands); Turku University Hospital,grid.4514.4; grid.470895.7; grid.11835.3e; grid.419765.8; grid.452762.0; grid.4494.d; grid.7644.1; grid.419309.6; grid.415967.8; grid.214458.e; grid.8391.3; grid.4830.f; grid.9909.9; grid.431072.3; grid.476166.4; grid.410552.7,Sweden; Finland; United Kingdom; Switzerland; United States; Netherlands; Italy; United Kingdom; United Kingdom; United States; United Kingdom; Netherlands; United Kingdom; United States; Netherlands; Finland,Kidney Research UK; Swedish Heart-Lung Foundation; Medical Research Council; Swedish Research Council; Swedish Foundation for Strategic Research,0,0,,,4,https://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-020-01901-x,https://app.dimensions.ai/details/publication/pub.1128824958,11 Medical and Health Sciences; 1103 Clinical Sciences,3 Good Health and Well Being
0,pub.1128669932,10.1186/s40537-020-00315-8,,PMC7309216,Preventive healthcare policies in the US: solutions for disease management using Big Data Analytics,Journal of Big Data,,,2020-12,2020,7,1,38,All OA; Gold,Article,"Batarseh, Feras A.; Ghassib, Iya; Chong, Deri (Sondor); Su, Po-Hsuan","Batarseh, Feras A. (George Mason University)","Batarseh, Feras A. (George Mason University); Ghassib, Iya (University of Michigan); Chong, Deri (Sondor) (George Mason University); Su, Po-Hsuan (George Mason University)",George Mason University; University of Michigan,grid.22448.38; grid.214458.e,United States; United States,,0,0,,,1,https://journalofbigdata.springeropen.com/track/pdf/10.1186/s40537-020-00315-8,https://app.dimensions.ai/details/publication/pub.1128669932,08 Information and Computing Sciences,3 Good Health and Well Being
0,pub.1127124858,10.1186/s13012-020-00990-4,32334632,PMC7183389,"The Balanced Opioid Initiative: protocol for a clustered, sequential, multiple-assignment randomized trial to construct an adaptive implementation strategy to improve guideline-concordant opioid prescribing in primary care",Implementation Science,,,2020-12,2020,15,1,26,All OA; Gold,Article,"Quanbeck, Andrew; Almirall, Daniel; Jacobson, Nora; Brown, Randall T.; Landeck, Jillian K.; Madden, Lynn; Cohen, Andrew; Deyo, Brienna M. F.; Robinson, James; Johnson, Roberta A.; Schumacher, Nicholas","Quanbeck, Andrew (University of Wisconsin–Madison)","Quanbeck, Andrew (University of Wisconsin–Madison); Almirall, Daniel (University of Michigan); Jacobson, Nora (University of Wisconsin–Madison); Brown, Randall T. (University of Wisconsin–Madison); Landeck, Jillian K. (University of Wisconsin–Madison); Madden, Lynn (APT Foundation); Cohen, Andrew (); Deyo, Brienna M. F. (University of Wisconsin–Madison); Robinson, James (); Johnson, Roberta A. (University of Wisconsin–Madison); Schumacher, Nicholas (University of Wisconsin–Madison)",APT Foundation; University of Michigan; University of Wisconsin–Madison,grid.422797.d; grid.214458.e; grid.14003.36,United States; United States; United States,National Institute on Drug Abuse,0,0,,,3,https://implementationscience.biomedcentral.com/track/pdf/10.1186/s13012-020-00990-4,https://app.dimensions.ai/details/publication/pub.1127124858,1117 Public Health and Health Services; 11 Medical and Health Sciences,
0,pub.1129100190,10.1038/s41598-020-68395-3,,,Anesthetic agents affect urodynamic parameters and anesthetic depth at doses necessary to facilitate preclinical testing in felines,Scientific Reports,,,2020-12,2020,10,1,11401,All OA; Gold,Article,"Xu, Jiajie Jessica; Yousuf, Zuha; Ouyang, Zhonghua; Kennedy, Eric; Lester, Patrick A.; Martin, Tara; Bruns, Tim M.","Bruns, Tim M. (University of Michigan; University of Michigan)","Xu, Jiajie Jessica (University of Michigan; University of Michigan); Yousuf, Zuha (University of Michigan; University of Michigan); Ouyang, Zhonghua (University of Michigan; University of Michigan); Kennedy, Eric (University of Michigan; University of Michigan); Lester, Patrick A. (University of Michigan); Martin, Tara (University of Michigan); Bruns, Tim M. (University of Michigan; University of Michigan)",University of Michigan,grid.214458.e,United States,,0,0,,,,http://dx.doi.org/10.1038/s41598-020-68395-3,https://app.dimensions.ai/details/publication/pub.1129100190,1109 Neurosciences; 11 Medical and Health Sciences,
6,pub.1128306712,10.1016/j.mehy.2020.109985,32554324,PMC7282775,Noradrenergic and serotonergic drugs may have opposing effects on COVID-19 cytokine storm and associated psychological effects,Medical Hypotheses,,,2020-11,2020,144,,109985,All OA; Gold,Article,"Fitzgerald, Paul J.","Fitzgerald, Paul J. (University of Michigan)","Fitzgerald, Paul J. (University of Michigan)",University of Michigan,grid.214458.e,United States,,0,0,,,1,https://doi.org/10.1016/j.mehy.2020.109985,https://app.dimensions.ai/details/publication/pub.1128306712,11 Medical and Health Sciences,
