"About the data: Exported on Aug 05, 2020. Criteria: Text - '""2019-nCoV"" OR ""COVID-19"" OR “SARS-CoV-2” OR ""HCoV-2019"" OR ""hcov"" OR ""NCOVID-19"" OR  ""severe acute respiratory syndrome coronavirus 2"" OR ""severe acute respiratory syndrome corona virus 2"" OR ((""coro...' in full data; Publication Year is 2020; Research Organization is University of Michigan–Flint or University of Michigan–Dearborn or University of Michigan or Michigan Medicine or VA Ann Arbor Healthcare System. For more information, please see https://app.dimensions.ai/datasources. © 2020 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,Sustainable Development Goals
33,pub.1128300941,10.1186/s13012-020-01006-x,32513292,PMC7276954,Implementation science in times of Covid-19,Implementation Science,,"Betacoronavirus; Communicable Disease Control; Coronavirus Infections; Data Collection; Data Interpretation, Statistical; Health Services Accessibility; Humans; Implementation Science; Pandemics; Pneumonia, Viral; Telemedicine",2020-12,2020,15,1,42,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",VA Ann Arbor Healthcare System; National Disability Insurance Agency; University Hospital Heidelberg; Heidelberg University; University of Manchester; University of Michigan,grid.413800.e; grid.507363.4; grid.5253.1; grid.7700.0; grid.5379.8; grid.214458.e,United States; Australia; Germany; Germany; United Kingdom; United States,,0,0,,,52,https://implementationscience.biomedcentral.com/track/pdf/10.1186/s13012-020-01006-x,https://app.dimensions.ai/details/publication/pub.1128300941,1117 Public Health and Health Services; 11 Medical and Health Sciences,
33,pub.1128417885,10.1038/s41597-020-0523-6,32533075,PMC7293349,"CIDO, a community-based ontology for coronavirus disease knowledge and data integration, sharing, and analysis",Scientific Data,,,2020-12,2020,7,1,181,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)","Guizhou University; University of North Dakota; Shanghai Institutes for Biological Sciences; University of Michigan; Northwestern University; Chinese Academy of Sciences; University at Buffalo, State University of New York; National Yang Ming University; Chinese Academy of Medical Sciences & Peking Union Medical College",grid.443382.a; grid.266862.e; grid.419092.7; grid.214458.e; grid.16753.36; grid.9227.e; grid.273335.3; grid.260770.4; grid.506261.6,China; United States; China; United States; United States; China; United States; Taiwan; China,National Center for Advancing Translational Sciences; National Institute of Allergy and Infectious Diseases; National Cancer Institute; National Institute of General Medical Sciences; United States National Library of Medicine; National Institute of Environmental Health Sciences,0,0,,,6,https://www.nature.com/articles/s41597-020-0523-6.pdf,https://app.dimensions.ai/details/publication/pub.1128417885,,
24,pub.1127237320,10.1186/s13054-020-02897-4,32354367,PMC7191969,Soluble urokinase plasminogen activator receptor (suPAR) as an early predictor of severe respiratory failure in patients with COVID-19 pneumonia,Critical Care,,"Aged; Betacoronavirus; Biomarkers; Clinical Laboratory Techniques; Coronavirus Infections; Female; Humans; Immunoenzyme Techniques; Male; Middle Aged; Pandemics; Pneumonia, Viral; Receptors, Urokinase Plasminogen Activator; Respiratory Insufficiency",2020-12,2020,24,1,187,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",University General Hospital Attikon; National and Kapodistrian University of Athens; Rush University Medical Center; University of Michigan; University of Patras,grid.411449.d; grid.5216.0; grid.240684.c; grid.214458.e; grid.11047.33,Greece; Greece; United States; United States; Greece,,8,8,,,115,https://ccforum.biomedcentral.com/track/pdf/10.1186/s13054-020-02897-4,https://app.dimensions.ai/details/publication/pub.1127237320,11 Medical and Health Sciences,
13,pub.1126671524,10.1186/s13063-020-04304-3,32293511,PMC7156793,COVID-19 randomised trial protocols: rapid publication without barriers,Trials,,"Abstracting and Indexing; Access to Information; Betacoronavirus; Coronavirus Infections; Disclosure; Editorial Policies; Humans; Pandemics; Pneumonia, Viral; Randomized Controlled Trials as Topic; Time Factors",2020-12,2020,21,1,327,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",University of Colorado Denver; BioMed Central (United Kingdom); University of Birmingham; University College London; University of Michigan; University of Toronto; University of Basel; Ottawa Hospital; University of Aberdeen,grid.241116.1; grid.431362.1; grid.6572.6; grid.83440.3b; grid.214458.e; grid.17063.33; grid.6612.3; grid.412687.e; grid.7107.1,United States; United Kingdom; United Kingdom; United Kingdom; United States; Canada; Switzerland; Canada; United Kingdom,Medical Research Council,2,2,,,52,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-020-04304-3,https://app.dimensions.ai/details/publication/pub.1126671524,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences; 1103 Clinical Sciences,
2,pub.1129556375,10.1186/s13012-020-01019-6,32698812,PMC7374070,Protocol: examining the effectiveness of an adaptive implementation intervention to improve uptake of the VA suicide risk identification strategy: a sequential multiple assignment randomized trial,Implementation Science,,,2020-12,2020,15,1,58,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",Case Western Reserve University; University of Michigan; Oregon Health & Science University,grid.67105.35; grid.214458.e; grid.5288.7,United States; United States; United States,Quality Enhancement Research Initiative,0,0,,,10,https://implementationscience.biomedcentral.com/track/pdf/10.1186/s13012-020-01019-6,https://app.dimensions.ai/details/publication/pub.1129556375,1117 Public Health and Health Services; 11 Medical and Health Sciences,
1,pub.1128490589,10.1186/s12874-020-01024-9,32539726,PMC7295690,Using online technologies to improve diversity and inclusion in cognitive interviews with young people,BMC Medical Research Methodology,,"Adolescent; Betacoronavirus; Cognition; Coronavirus Infections; Feasibility Studies; Female; Health Surveys; Humans; Internet; Interviews as Topic; Male; Pandemics; Pneumonia, Viral; Psychometrics; Reproducibility of Results; Sexual Behavior; Sexual and Gender Minorities; United States; Young Adult",2020-12,2020,20,1,159,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)","University of California, San Francisco; University of Michigan",grid.266102.1; grid.214458.e,United States; United States,National Institute of Child Health and Human Development,1,1,,,17,https://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-020-01024-9,https://app.dimensions.ai/details/publication/pub.1128490589,1117 Public Health and Health Services; 11 Medical and Health Sciences,4 Quality Education
0,pub.1128824958,10.1186/s12882-020-01901-x,32600374,PMC7323369,Prognostic imaging biomarkers for diabetic kidney disease (iBEAt): study protocol,BMC Nephrology,,,2020-12,2020,21,1,242,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",University of Bari Aldo Moro; University Medical Center Groningen; Novo Nordisk (United States); Turku PET Centre; Turku University Hospital; University of Leeds; University of Groningen; University of Michigan; University of Sheffield; Astellas Pharma (Netherlands); Leeds Teaching Hospitals NHS Trust; AbbVie (United States); University of Exeter; Royal Devon & Exeter NHS Foundation Trust; Lund University; Swiss Institute of Bioinformatics,grid.7644.1; grid.4494.d; grid.452762.0; grid.470895.7; grid.410552.7; grid.9909.9; grid.4830.f; grid.214458.e; grid.11835.3e; grid.476166.4; grid.415967.8; grid.431072.3; grid.8391.3; grid.419309.6; grid.4514.4; grid.419765.8,Italy; Netherlands; United States; Finland; Finland; United Kingdom; Netherlands; United States; United Kingdom; Netherlands; United Kingdom; United States; United Kingdom; United Kingdom; Sweden; Switzerland,Swedish Heart-Lung Foundation; Kidney Research UK; Medical Research Council; Swedish Research Council; Swedish Foundation for Strategic Research,0,0,,,4,https://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-020-01901-x,https://app.dimensions.ai/details/publication/pub.1128824958,11 Medical and Health Sciences; 1103 Clinical Sciences,3 Good Health and Well Being
0,pub.1129100190,10.1038/s41598-020-68395-3,32647241,PMC7347647,Anesthetic agents affect urodynamic parameters and anesthetic depth at doses necessary to facilitate preclinical testing in felines,Scientific Reports,,,2020-12,2020,10,1,11401,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",University of Michigan,grid.214458.e,United States,,0,0,,,5,https://www.nature.com/articles/s41598-020-68395-3.pdf,https://app.dimensions.ai/details/publication/pub.1129100190,1109 Neurosciences; 11 Medical and Health Sciences,
0,pub.1128669932,10.1186/s40537-020-00315-8,,PMC7309216,Preventive healthcare policies in the US: solutions for disease management using Big Data Analytics,Journal of Big Data,,,2020-12,2020,7,1,38,All OA; Gold,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)",George Mason University; University of Michigan,grid.22448.38; grid.214458.e,United States; United States,,0,0,,,1,https://journalofbigdata.springeropen.com/track/pdf/10.1186/s40537-020-00315-8,https://app.dimensions.ai/details/publication/pub.1128669932,08 Information and Computing Sciences,3 Good Health and Well Being
0,pub.1129780956,10.1038/s41746-020-0302-y,,,Digitizing clinical trials,npj Digital Medicine,,,2020-12,2020,3,1,101,Closed,Article,"Wensing, Michel; Sales, Anne; Armstrong, Rebecca; Wilson, Paul","Wensing, Michel (University Hospital Heidelberg; Heidelberg University)","Wensing, Michel (University Hospital Heidelberg; Heidelberg University); Sales, Anne (VA Ann Arbor Healthcare System; University of Michigan); Armstrong, Rebecca (National Disability Insurance Agency); Wilson, Paul (University of Manchester)","Brown University; Stanford University; University of California, San Francisco; National Institute on Drug Abuse; Yale University; University of Massachusetts Amherst; Harvard University; National Heart Lung and Blood Institute; University of Michigan; Northwestern University; Duke University; Georgia Institute of Technology; New York University; Office of the Director",grid.40263.33; grid.168010.e; grid.266102.1; grid.420090.f; grid.47100.32; grid.266683.f; grid.38142.3c; grid.279885.9; grid.214458.e; grid.16753.36; grid.26009.3d; grid.213917.f; grid.137628.9; grid.453125.4,United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States,Directorate for Computer & Information Science & Engineering; National Heart Lung and Blood Institute; National Institute on Drug Abuse; National Center for Advancing Translational Sciences,0,0,,,29,,https://app.dimensions.ai/details/publication/pub.1129780956,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,3 Good Health and Well Being
